Bit 1 [1, 2, 4, 6]
Bit 2 [1, 6, 10, 14]
Bit 3 [1, 14, 22, 30]
Bit 4 [14, 22, 33, 54]
Bit 5 [22, 33, 78, 97]
Bit 6 [33, 78, 150, 206]
Bit 7 [78, 150, 289, 406]
Bit 8 [150, 289, 590, 801]
Bit 9 [289, 590, 1174, 1614]
Bit 10 [590, 1174, 2337, 3222]
Bit 11 [1174, 2337, 4686, 6433]
Bit 12 [2337, 4686, 9366, 12878]
Bit 13 [4686, 9366, 18721, 25750]
Bit 14 [4686, 25750, 42134, 58518]
Bit 15 [25750, 42134, 70222, 107670]
Bit 16 [25750, 107670, 173206, 238742]
Bit 17 [107670, 173206, 287894, 435350]
Bit 18 [173206, 287894, 631958, 812182]
Bit 19 [287894, 631958, 1221782, 1680534]
Bit 20 [631958, 1221782, 2385046, 3318934]
Bit 21 [631958, 3318934, 5416086, 7513238]
Bit 22 [631958, 7513238, 11707542, 15901846]
Bit 23 [7513238, 11707542, 17409174, 28484758]
Bit 24 [7513238, 28484758, 45261974, 62039190]
Bit 25 [28484758, 45261974, 74622102, 112370838]
Bit 26 [28484758, 112370838, 179479702, 246588566]
Bit 27 [28484758, 246588566, 380806294, 515024022]
Bit 28 [246588566, 380806294, 565355670, 917677206]
Bit 29 [246588566, 917677206, 1454548118, 1991419030]
Bit 30 [246588566, 1991419030, 3065160854, 4138902678]
Bit 31 [246588566, 4138902678, 6286386326, 8433869974]
Bit 32 [246588566, 8433869974, 12728837270, 17023804566]
Bit 33 [8433869974, 12728837270, 17426457750, 29908706454]
Bit 34 [8433869974, 42793608342, 0, 0]
Bit 35 [42793608342, 77153346710, 111513085078, 0]
Bit 36 [42793608342, 77153346710, 137438953472, 214592300182]
Bit 37 [77153346710, 137438953472, 317671515286, 412316860416]
Bit 38 [77153346710, 412316860416, 687194767360, 962072674304]
Bit 39 [77153346710, 962072674304, 1511828488192, 2061584302080]
Bit 40 [77153346710, 2061584302080, 3161095929856, 4260607557632]
Bit 41 [2061584302080, 3161095929856, 4475199857814, 7559142440960]
